128,971,183,969,193
128,128,0,128,0
256,256,0,256,0
256,256,0,256,0
384,384,0,384,0
384,384,0,384,0
512,512,0,512,0
768,768,0,768,0
896,895,1,895,0
1280,1279,1,1279,0
1664,1663,1,1663,0
2176,2174,2,2174,0
2816,2814,2,2814,0
3712,3712,0,3712,0
4864,4862,2,4862,0
6272,6271,1,6271,0
8320,8320,0,8320,0
11008,11006,2,11006,0
14464,14459,5,14459,0
18944,18939,5,18939,0
24832,24823,9,24823,0
30976,30973,3,30973,0
33920,33911,9,33911,0
36864,36858,6,36858,0
40192,40185,7,40185,0
45056,45042,14,45042,0
48128,48119,9,48119,0
54912,54897,15,54897,0
59392,59377,15,59377,0
64128,64114,14,64114,0
69632,69619,13,69619,0
78336,78317,19,78317,0
85504,85489,15,85489,0
93696,93673,23,93673,0
102400,102369,31,102369,0
112000,111980,20,111980,0
121856,121822,34,121822,0
133376,133336,40,133336,0
145280,145247,33,145247,0
158720,158689,31,158689,0
173312,173271,42,173270,0
188928,188880,48,188880,0
205952,205899,54,205898,0
224896,224834,63,224833,0
244864,244806,58,244806,0
266752,266687,65,266687,0
290432,290366,67,290365,0
315648,315557,91,315557,0
343552,343465,89,343463,0
373632,373542,90,373542,0
405120,405030,90,405030,0
441600,441490,110,441490,0
477440,477310,130,477310,0
517760,517642,118,517642,0
559744,559633,111,559633,0
606848,606696,153,606695,0
654080,653931,151,653929,0
706304,706116,188,706116,0
766848,766628,220,766628,87
827520,827307,213,827307,58
882944,882707,238,882706,350
956160,955902,260,955900,199
1022848,1022563,285,1022563,474
1093760,1093521,240,1093520,115
1170816,1170517,301,1170515,185
1244032,1243564,471,1243561,1672
1317760,1317461,303,1317457,0
1407872,1407370,377,1407367,340
1490432,1490028,410,1490022,1075
1563904,1563249,657,1563247,2598
1671424,1670790,509,1670787,629
1761408,1760981,429,1760979,313
1862912,1862375,545,1862367,898
1952128,1951552,582,1951546,1003
2067328,2065894,1445,2065883,8457
2144896,2143527,1251,2143517,5250
2240000,2238893,1117,2238877,10360
2361344,2360103,1260,2360084,6990
2420992,2419572,1427,2419565,73817
2540032,2538644,1404,2538628,155225
2634240,2632859,1404,2632836,154589
2766592,2764688,1926,2764666,131129
2811008,2809526,1497,2809511,375129
2908544,2904300,4143,2904273,638522
2945920,2942900,3045,2942875,794860
3063552,3060610,2980,3060572,811902
3164672,3162012,2512,3161904,343233
3239040,3235224,3742,3235086,104325
3274240,3270640,3625,3270487,153351
3369472,3365853,3402,3365730,646676
3433984,3429783,4317,3429667,502331
3515136,3509126,6144,3508992,351983
3574272,3567919,6541,3567731,214794
3607168,3601442,5874,3601286,277632
3664384,3656198,8391,3655962,38778
3720832,3711678,9149,3711427,265932
3766528,3757147,9601,3756927,650714
3781504,3771982,9834,3771670,37022
3843456,3831135,12544,3830784,49202
3880192,3866977,13433,3866631,64971
3899136,3886909,12506,3886630,256496
3959296,3946502,12966,3946202,270419
4011264,3997797,13941,3997451,74025
4002688,3989587,10843,3989285,595682
4020608,4010029,10742,4009738,558059
4096128,4081495,14885,4081115,158317
4094720,4080191,14665,4079794,80751
4104704,4092894,11993,4092583,349857
4122112,4113243,8912,4113072,1499176
4142336,4127701,14515,4127309,353744
4139520,4122876,16888,4122504,82230
4223104,4210938,12358,4210618,137845
4168960,4154178,14617,4153831,114206
4224128,4209534,14691,4209181,139107
4204928,4189995,15296,4189632,175399
4250368,4236379,12371,4236077,160186
4215808,4201369,14654,4201026,145973
4211200,4200649,10664,4200408,1129725
4222720,4210644,11082,4210358,413676
4216576,4202760,13873,4202447,158438
4247552,4233133,14461,4232797,142395
