x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
0	0	0x602439c0	12	0.001145	0.079988	[]
0	0	0x602439cc	4	0.000460	0.066308	[]
0	0	0x602439d0	1224	0.000832	11.220452	[]
0	0	0x60243e98	24	0.000397	0.461790	[]
0	0	0x602549a0	12	0.000400	0.228761	[]
0	0	0x602549ac	156	0.000393	3.026060	[]
0	0	0x602551cc	4	0.000417	0.073271	[]
0	0	0x602551d0	36	0.000415	0.661091	[]
0	0	0x602551f4	32	0.000426	0.572869	[]
0	0	0x6027c598	4	0.000455	0.067008	[]
0	0	0x6027c59c	184	0.000410	3.422655	[]
0	0	0x6027c658	516	0.000518	7.602536	[]
0	0	0x6027c85c	4	0.000427	0.071403	[]
0	0	0x6027cd68	76	0.000458	1.265869	[]
0	0	0x6027d6c8	12	0.000450	0.203536	[]
0	0	0x6027d6d4	156	0.000403	2.952420	[]
0	0	0x6027def4	4	0.000472	0.064688	[]
0	0	0x6027def8	36	0.000449	0.611232	[]
0	0	0x6027df1c	32	0.000448	0.545088	[]
0	0	0x602a52c0	4	0.000453	0.067439	[]
0	0	0x602a52c4	184	0.000451	3.113403	[]
0	0	0x602a5380	516	0.000563	6.986489	[]
0	0	0x602a5584	4	0.000394	0.077365	[]
0	0	0x602a5a90	76	0.000402	1.442545	[]
0	0	0x602a63f0	12	0.000401	0.228589	[]
0	0	0x602a63fc	156	0.000442	2.692228	[]
0	0	0x602a6c1c	4	0.000437	0.069861	[]
0	0	0x602a6c20	36	0.000420	0.653665	[]
0	0	0x602a6c44	32	0.000397	0.615550	[]
0	0	0x602cdfe8	4	0.000431	0.070842	[]
0	0	0x602cdfec	184	0.000438	3.206565	[]
0	0	0x602ce0a8	516	0.000490	8.035007	[]
0	0	0x602ce2ac	4	0.000466	0.065431	[]
0	0	0x602ce7b8	76	0.000443	1.307723	[]
0	0	0x602cf118	12	0.000417	0.219761	[]
0	0	0x602cf124	156	0.000420	2.836193	[]
0	0	0x602cf944	4	0.000415	0.073516	[]
0	0	0x602cf948	36	0.000420	0.653758	[]
0	0	0x602cf96c	32	0.000419	0.582741	[]
0	0	0x602f6d10	4	0.000420	0.072678	[]
0	0	0x602f6d14	184	0.000422	3.325599	[]
0	0	0x602f6dd0	516	0.000481	8.181282	[]
0	0	0x602f6fd4	4	0.000448	0.068191	[]
0	0	0x602f74e0	76	0.000398	1.458254	[]
0	0	0x602f7e40	12	0.000427	0.214248	[]
0	0	0x602f7e4c	156	0.000413	2.882768	[]
0	0	0x602f866c	4	0.000485	0.062899	[]
0	0	0x602f8670	36	0.000425	0.646876	[]
0	0	0x602f8694	32	0.000422	0.578050	[]
0	0	0x6031fa38	4	0.000409	0.074655	[]
0	0	0x6031fa3c	184	0.000402	3.493173	[]
0	0	0x6031faf8	516	0.000520	7.568771	[]
0	0	0x6031fcfc	4	0.000379	0.080570	[]
0	0	0x60320208	76	0.000363	1.598347	[]
0	0	0x60320b68	12	0.000401	0.228162	[]
0	0	0x60320b74	156	0.000402	2.962415	[]
0	0	0x60321394	4	0.000409	0.074684	[]
0	0	0x60321398	36	0.000407	0.674319	[]
0	0	0x603213bc	32	0.000407	0.599380	[]
0	0	0x60348760	4	0.000399	0.076525	[]
0	0	0x60348764	184	0.000415	3.381922	[]
0	0	0x60348820	516	0.000512	7.687918	[]
0	0	0x60348a24	4	0.000422	0.072375	[]
0	0	0x60348f30	76	0.000407	1.424437	[]
0	0	0x60349890	12	0.000389	0.235111	[]
0	0	0x6034989c	156	0.000401	2.968177	[]
0	0	0x6034a0bc	4	0.000391	0.078038	[]
0	0	0x6034a0c0	36	0.000407	0.674847	[]
0	0	0x6034a0e4	32	0.000394	0.619974	[]
0	0	0x60371488	4	0.000394	0.077459	[]
0	0	0x6037148c	184	0.000394	3.565301	[]
0	0	0x60371548	516	0.000505	7.795842	[]
0	0	0x6037174c	4	0.000422	0.072273	[]
0	0	0x60371c58	76	0.000412	1.408759	[]
0	0	0x603725b8	12	0.000385	0.238021	[]
0	0	0x603725c4	156	0.000450	2.644140	[]
0	0	0x60372de4	4	0.000411	0.074331	[]
0	0	0x60372de8	36	0.000420	0.654584	[]
0	0	0x60372e0c	32	0.000428	0.570619	[]
0	0	0x6039a1b0	4	0.000381	0.080180	[]
