Tags actually read off the machine
==================================
IPTag(board_address=172.16.223.1, destination_x=0, destination_y=0, tag=7, port=58859, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.1, destination_x=0, destination_y=0, tag=8, port=38575, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.1, destination_x=0, destination_y=0, tag=7, port=58859, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.97, destination_x=12, destination_y=0, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.97, destination_x=12, destination_y=0, tag=10, port=60448, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.97, destination_x=12, destination_y=0, tag=12, port=60448, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=8, port=44946, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=9, port=44946, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=10, port=44946, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=11, port=44946, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=12, port=44946, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=13, port=44946, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=14, port=44946, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=8, port=49439, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=9, port=49439, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=10, port=49439, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=11, port=49439, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=12, port=49439, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=13, port=49439, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=14, port=49439, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=8, port=38002, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=9, port=38002, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=10, port=38002, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=11, port=38002, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=12, port=38002, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=13, port=38002, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
