x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
0	0	0x602439c0	12	0.001137	0.080495	[]
0	0	0x602439cc	4	0.000458	0.066660	[]
0	0	0x602439d0	1224	0.000870	10.738521	[]
0	0	0x60243e98	24	0.000441	0.415372	[]
0	0	0x602549a0	12	0.000439	0.208362	[]
0	0	0x602549ac	156	0.000433	2.750780	[]
0	0	0x602551cc	4	0.000423	0.072200	[]
0	0	0x602551d0	36	0.000396	0.694121	[]
0	0	0x602551f4	32	0.000453	0.538486	[]
0	0	0x6027c598	4	0.000446	0.068374	[]
0	0	0x6027c59c	184	0.000447	3.138524	[]
0	0	0x6027c658	516	0.000455	8.645339	[]
0	0	0x6027c85c	4	0.000465	0.065581	[]
0	0	0x6027cd68	76	0.000437	1.326633	[]
0	0	0x6027d6c8	12	0.000434	0.210770	[]
0	0	0x6027d6d4	156	0.000435	2.738879	[]
0	0	0x6027def4	4	0.000470	0.064875	[]
0	0	0x6027def8	36	0.000454	0.605397	[]
0	0	0x6027df1c	32	0.000446	0.547336	[]
0	0	0x602a52c0	4	0.000429	0.071214	[]
0	0	0x602a52c4	184	0.000436	3.216255	[]
0	0	0x602a5380	516	0.000539	7.301763	[]
0	0	0x602a5584	4	0.000443	0.068885	[]
0	0	0x602a5a90	76	0.000432	1.340895	[]
0	0	0x602a63f0	12	0.000421	0.217547	[]
0	0	0x602a63fc	156	0.000433	2.746457	[]
0	0	0x602a6c1c	4	0.000427	0.071434	[]
0	0	0x602a6c20	36	0.000447	0.614734	[]
0	0	0x602a6c44	32	0.000391	0.623823	[]
0	0	0x602cdfe8	4	0.000429	0.071095	[]
0	0	0x602cdfec	184	0.000441	3.182720	[]
0	0	0x602ce0a8	516	0.000523	7.528677	[]
0	0	0x602ce2ac	4	0.000379	0.080623	[]
0	0	0x602ce7b8	76	0.000449	1.290117	[]
0	0	0x602cf118	12	0.000415	0.220831	[]
0	0	0x602cf124	156	0.000411	2.897930	[]
0	0	0x602cf944	4	0.000415	0.073593	[]
0	0	0x602cf948	36	0.000415	0.661298	[]
0	0	0x602cf96c	32	0.000425	0.574728	[]
0	0	0x602f6d10	4	0.000380	0.080222	[]
0	0	0x602f6d14	184	0.000413	3.400674	[]
0	0	0x602f6dd0	516	0.000525	7.496406	[]
0	0	0x602f6fd4	4	0.000439	0.069511	[]
0	0	0x602f74e0	76	0.000439	1.321701	[]
0	0	0x602f7e40	12	0.000385	0.237675	[]
0	0	0x602f7e4c	156	0.000418	2.848683	[]
0	0	0x602f866c	4	0.000441	0.069230	[]
0	0	0x602f8670	36	0.000450	0.610415	[]
0	0	0x602f8694	32	0.000409	0.597400	[]
0	0	0x6031fa38	4	0.000465	0.065574	[]
0	0	0x6031fa3c	184	0.000418	3.357896	[]
0	0	0x6031faf8	516	0.000511	7.707470	[]
0	0	0x6031fcfc	4	0.000354	0.086188	[]
0	0	0x60320208	76	0.000380	1.525269	[]
0	0	0x60320b68	12	0.000409	0.224058	[]
0	0	0x60320b74	156	0.000399	2.980814	[]
0	0	0x60321394	4	0.000412	0.074134	[]
0	0	0x60321398	36	0.000412	0.666239	[]
0	0	0x603213bc	32	0.000410	0.596175	[]
0	0	0x60348760	4	0.000400	0.076252	[]
0	0	0x60348764	184	0.000400	3.508180	[]
0	0	0x60348820	516	0.000518	7.599453	[]
0	0	0x60348a24	4	0.000429	0.071108	[]
0	0	0x60348f30	76	0.000403	1.440216	[]
0	0	0x60349890	12	0.000402	0.227878	[]
0	0	0x6034989c	156	0.000410	2.904074	[]
0	0	0x6034a0bc	4	0.000396	0.077161	[]
0	0	0x6034a0c0	36	0.000406	0.677143	[]
0	0	0x6034a0e4	32	0.000396	0.616964	[]
0	0	0x60371488	4	0.000391	0.078091	[]
0	0	0x6037148c	184	0.000397	3.537886	[]
0	0	0x60371548	516	0.000489	8.043527	[]
0	0	0x6037174c	4	0.000401	0.076088	[]
0	0	0x60371c58	76	0.000421	1.377105	[]
0	0	0x603725b8	12	0.000395	0.231830	[]
0	0	0x603725c4	156	0.000376	3.164773	[]
0	0	0x60372de4	4	0.000458	0.066600	[]
0	0	0x60372de8	36	0.000435	0.630886	[]
0	0	0x60372e0c	32	0.000432	0.565006	[]
0	0	0x6039a1b0	4	0.000452	0.067460	[]
0	0	0x6039a1b4	184	0.000428	3.277300	[]
0	0	0x6039a270	516	0.000541	7.282852	[]
0	0	0x6039a474	4	0.000462	0.066031	[]
0	0	0x6039a980	76	0.000455	1.274884	[]
0	0	0x6039b2e0	12	0.000465	0.197086	[]
0	0	0x6039b2ec	156	0.000449	2.652266	[]
0	0	0x6039bb0c	4	0.000445	0.068523	[]
0	0	0x6039bb10	36	0.000378	0.727125	[]
0	0	0x6039bb34	32	0.000373	0.654757	[]
0	0	0x603c2ed8	4	0.000375	0.081364	[]
0	0	0x603c2edc	184	0.000398	3.524925	[]
0	0	0x603c2f98	516	0.000486	8.098295	[]
0	0	0x603c319c	4	0.000372	0.081966	[]
0	0	0x603c36a8	76	0.000366	1.584280	[]
0	0	0x603c4008	12	0.000394	0.232107	[]
0	0	0x603c4014	156	0.000381	3.124888	[]
0	0	0x603c4834	4	0.000378	0.080638	[]
0	0	0x603c4838	36	0.000389	0.705805	[]
0	0	0x603c485c	32	0.000387	0.630345	[]
0	0	0x603ebc00	4	0.000373	0.081810	[]
0	0	0x603ebc04	184	0.000392	3.581949	[]
0	0	0x603ebcc0	516	0.000493	7.985281	[]
0	0	0x603ebec4	4	0.000376	0.081250	[]
0	0	0x603ec3d0	76	0.000374	1.551885	[]
0	0	0x603ecd30	12	0.000376	0.243632	[]
0	0	0x603ecd3c	156	0.000391	3.041448	[]
0	0	0x603ed55c	4	0.000388	0.078708	[]
0	0	0x603ed560	36	0.000508	0.540312	[]
0	0	0x603ed584	32	0.000377	0.646915	[]
0	0	0x60414928	4	0.000399	0.076559	[]
0	0	0x6041492c	184	0.000387	3.628697	[]
0	0	0x604149e8	516	0.000492	8.007045	[]
0	0	0x60414bec	4	0.000364	0.083768	[]
0	0	0x604150f8	76	0.000368	1.574126	[]
0	0	0x60415a58	12	0.000365	0.250704	[]
0	0	0x60415a64	156	0.000387	3.075470	[]
0	0	0x60416284	4	0.000377	0.081038	[]
0	0	0x60416288	36	0.000361	0.760401	[]
0	0	0x604162ac	32	0.000393	0.621869	[]
0	0	0x6043d650	4	0.000371	0.082275	[]
0	0	0x6043d654	184	0.000360	3.900953	[]
0	0	0x6043d710	516	0.000471	8.358974	[]
0	0	0x6043d914	4	0.000381	0.080102	[]
0	0	0x6043de20	76	0.000362	1.601566	[]
0	0	0x6043e780	12	0.000361	0.253621	[]
0	0	0x6043e78c	156	0.000369	3.227954	[]
0	0	0x6043efac	4	0.000367	0.083133	[]
0	0	0x6043efb0	36	0.000367	0.747569	[]
0	0	0x6043efd4	32	0.000368	0.663026	[]
0	0	0x60466378	4	0.000367	0.083111	[]
0	0	0x6046637c	184	0.000383	3.668620	[]
0	0	0x60466438	516	0.000475	8.283345	[]
0	0	0x6046663c	4	0.000363	0.084058	[]
0	0	0x60466b48	76	0.000371	1.562929	[]
0	0	0x604674a8	12	0.000375	0.244270	[]
0	0	0x604674b4	156	0.000370	3.219746	[]
0	0	0x60467cd4	4	0.000366	0.083390	[]
0	0	0x60467cd8	36	0.000366	0.749895	[]
0	0	0x60467cfc	32	0.000389	0.627688	[]
0	0	0x6048f0a0	4	0.000380	0.080218	[]
0	0	0x6048f0a4	184	0.000366	3.834778	[]
0	0	0x6048f160	516	0.000478	8.240001	[]
0	0	0x6048f364	4	0.000375	0.081308	[]
0	0	0x6048f870	76	0.000370	1.569227	[]
1	0	0x60253d00	12	0.000370	0.247285	[]
1	0	0x60253d0c	156	0.000384	3.102495	[]
1	0	0x6025452c	4	0.000374	0.081525	[]
1	0	0x60254530	36	0.000362	0.757776	[]
1	0	0x60254554	32	0.000361	0.675463	[]
1	0	0x6027b8f8	4	0.000372	0.082032	[]
1	0	0x6027b8fc	184	0.000386	3.632453	[]
1	0	0x6027b9b8	516	0.000475	8.284042	[]
1	0	0x6027bbbc	4	0.000360	0.084811	[]
1	0	0x6027c0c8	76	0.000378	1.534955	[]
1	0	0x6027ca28	12	0.000364	0.251635	[]
1	0	0x6027ca34	156	0.000382	3.113289	[]
1	0	0x6027d254	4	0.000370	0.082522	[]
1	0	0x6027d258	36	0.000354	0.775888	[]
1	0	0x6027d27c	32	0.000371	0.658111	[]
1	0	0x602a4620	4	0.000359	0.085033	[]
1	0	0x602a4624	184	0.000364	3.860095	[]
1	0	0x602a46e0	516	0.000473	8.331731	[]
1	0	0x602a48e4	4	0.000362	0.084277	[]
1	0	0x602a4df0	76	0.000367	1.577900	[]
1	0	0x602a5750	12	0.000355	0.257727	[]
1	0	0x602a575c	156	0.000318	3.744700	[]
1	0	0x602a5f7c	4	0.000387	0.078757	[]
1	0	0x602a5f80	36	0.000378	0.726067	[]
1	0	0x602a5fa4	32	0.000518	0.471420	[]
1	0	0x602cd348	4	0.000384	0.079435	[]
1	0	0x602cd34c	184	0.000384	3.658305	[]
1	0	0x602cd408	516	0.000489	8.049118	[]
1	0	0x602cd60c	4	0.000375	0.081454	[]
